feature_set,mean_delta_max,mean_delta_mean,mean_delta_min,mean_delta_std,metric,n_splits,significant_splits,split_seeds
all,0.013643700240636292,0.010032135219318563,0.00771096304847825,0.0031698861066647567,map,3,3,"101,202,303"
all,0.0026345083487940638,0.0019171304885590601,0.001447124304267161,0.0006311614506950196,recall@10,3,3,"101,202,303"
branching,6.394814429045242e-05,2.130517818254916e-05,-2.2799232805822716e-08,3.692989251320087e-05,map,3,0,"101,202,303"
branching,3.710575139146558e-05,1.2368583797155193e-05,0.0,2.1423015554345983e-05,recall@10,3,0,"101,202,303"
length_only,0.02810244010583001,0.02711396321756479,0.025207457693041908,0.0016514579090397474,map,3,3,"101,202,303"
length_only,0.003487940630797774,0.0026839826839826844,0.0017068645640074213,0.0009030760339528417,recall@10,3,3,"101,202,303"
metric_distortion,0.007175606558026423,0.0055650889426929655,0.004254854793791211,0.0014833493645227192,map,3,3,"101,202,303"
metric_distortion,0.0013358070500927644,0.0007421150278293136,0.0004081632653061222,0.0005154895728923861,recall@10,3,1,"101,202,303"
shape,0.009820319588444412,0.006120187812217903,0.003219558140649466,0.003372227102997146,map,3,3,"101,202,303"
shape,0.002077922077922078,0.0013605442176870747,0.00044526901669758796,0.0008341232059412427,recall@10,3,3,"101,202,303"
size_depth,0.01833773691026519,0.015620264887227427,0.01383648943739575,0.0023914742672911968,map,3,3,"101,202,303"
size_depth,0.00300556586270872,0.0023129251700680273,0.0015955473098330241,0.0007053346903838345,recall@10,3,3,"101,202,303"
