feature_set,mean_delta_max,mean_delta_mean,mean_delta_min,mean_delta_std,metric,n_splits,significant_splits,split_seeds
residual_all_nonlength,0.0007138748758596557,0.000520927534323849,0.00034379832079315596,0.00018554466856436923,map,3,3,"101,202,303"
residual_all_nonlength,0.0002226345083487941,0.00016079158936301791,0.00011131725417439698,5.667997148986821e-05,recall@10,3,0,"101,202,303"
residual_branching,-9.810509999122727e-09,-0.00014451436378929653,-0.00043351048162508466,0.0002502779797251334,map,3,0,"101,202,303"
residual_branching,0.0,-2.473716759431049e-05,-7.421150278293147e-05,4.284603110869214e-05,recall@10,3,0,"101,202,303"
residual_metric_distortion,0.0031272597647986652,0.0016336742444224657,-3.7478385783491143e-06,0.00157045180462882,map,3,2,"101,202,303"
residual_metric_distortion,0.0007050092764378479,0.0001855287569573284,-0.000111317254174397,0.00045141094844513695,recall@10,3,1,"101,202,303"
residual_shape,0.0,-1.0869914268315148e-08,-2.2799232805822716e-08,1.1436477044427319e-08,map,3,0,"101,202,303"
residual_shape,0.0,0.0,0.0,0.0,recall@10,3,0,"101,202,303"
residual_size_depth,0.0,-8.835507538355757e-05,-0.0002650554156406736,0.0001530269835986352,map,3,0,"101,202,303"
residual_size_depth,0.0,-9.894867037724187e-05,-0.0002968460111317256,0.00017138412443476844,recall@10,3,0,"101,202,303"
