feature_set,mean_delta_max,mean_delta_mean,mean_delta_min,mean_delta_std,metric,n_splits,split_seeds,task_label
all,0.016068087600089598,0.00487566847707166,-0.003311185793514415,0.010033151268551792,map,3,"101,202,303",0
all,0.002040816326530609,0.0016326530612245,0.001224489795918382,0.00040816326530611347,recall@10,3,"101,202,303",0
all,0.02532411934177925,0.014696233108471604,0.007794739032729869,0.009339929999138033,map,3,"101,202,303",1
all,0.004081632653061273,0.0028571428571428728,0.0016326530612245094,0.001224489795918382,recall@10,3,"101,202,303",1
all,0.03495747314289943,0.03002389575008224,0.025231440011425632,0.004864552046138089,map,3,"101,202,303",10
all,0.008163265306122464,0.0059863945578231175,0.004897959183673445,0.001885225368782474,recall@10,3,"101,202,303",10
all,-0.004004613383897682,-0.010100037291981797,-0.014751142589324862,0.005516929823531794,map,3,"101,202,303",2
all,0.003265306122448991,-0.00013605442176869062,-0.002040816326530609,0.0029527257706409085,recall@10,3,"101,202,303",2
all,0.046446508752486015,0.04077981478276268,0.036052220562229786,0.005260393331274972,map,3,"101,202,303",3
all,0.005306122448979572,0.0031292517006802634,0.0016326530612244816,0.0019289043372459544,recall@10,3,"101,202,303",3
all,0.007376030016596924,-0.003204288155821966,-0.010977132716771587,0.009493212134925613,map,3,"101,202,303",4
all,0.002040816326530609,-0.0006802721088435363,-0.003673469387755063,0.002866844558599361,recall@10,3,"101,202,303",4
all,0.005619269826530271,0.0034486460178462055,0.0010776296294644494,0.002277441944243462,map,3,"101,202,303",5
all,0.0036734693877551183,0.0025850340136054453,0.0008163265306122547,0.0015452811825306832,recall@10,3,"101,202,303",5
all,0.0013907230989133046,-0.0011581447423806661,-0.005255732400463731,0.003583677228697674,map,3,"101,202,303",6
all,0.00040816326530612734,0.00013605442176869062,-0.0004081632653061551,0.00047130634219562655,recall@10,3,"101,202,303",6
all,0.026548206842753164,0.013442282632510608,0.004896953439531115,0.011523604629899755,map,3,"101,202,303",7
all,0.006938775510204109,0.004353741496598645,0.0016326530612244816,0.002655676366795002,recall@10,3,"101,202,303",7
all,0.0055169842249318535,0.0027474125121520476,-0.002225463033051378,0.0043159336439688775,map,3,"101,202,303",8
all,0.0,0.0,0.0,0.0,recall@10,3,"101,202,303",8
all,0.017847910757713303,0.014802004321791499,0.010590224387048153,0.0037666893454564926,map,3,"101,202,303",9
all,0.002857142857142836,0.0012244897959183543,0.0004081632653060996,0.0014139190265868315,recall@10,3,"101,202,303",9
branching,0.0,-0.0010706943250902157,-0.003212082975270647,0.001854496970431922,map,3,"101,202,303",0
branching,0.0,-0.00040816326530612734,-0.001224489795918382,0.0007069595132934278,recall@10,3,"101,202,303",0
branching,0.0,-0.0007416044540458818,-0.0022248133621376454,0.001284496593526846,map,3,"101,202,303",1
branching,0.0,-0.0001360544217687091,-0.00040816326530612734,0.00023565317109780926,recall@10,3,"101,202,303",1
branching,0.0009391458822275434,0.0003130486274091811,0.0,0.0005422161279124007,map,3,"101,202,303",10
branching,0.0016326530612244539,0.000544217687074818,0.0,0.000942612684391205,recall@10,3,"101,202,303",10
branching,0.0,-0.0004163746884460566,-0.0012491240653381697,0.000721182115374232,map,3,"101,202,303",2
branching,0.0,0.0,0.0,0.0,recall@10,3,"101,202,303",2
branching,0.004041344645593248,0.0013471148818644159,0.0,0.0023332714190213142,map,3,"101,202,303",3
branching,0.0008163265306122269,0.000272108843537409,0.0,0.0004713063421956025,recall@10,3,"101,202,303",3
branching,0.0010824576944654662,0.00036081923148848877,0.0,0.0006249572412860186,map,3,"101,202,303",4
branching,0.0,-0.00013605442176871838,-0.0004081632653061551,0.00023565317109782528,recall@10,3,"101,202,303",4
branching,-1.0791561000367267e-07,-0.00033285052112336233,-0.0009981928561991205,0.0005762033688173223,map,3,"101,202,303",5
branching,0.0008163265306122269,0.000272108843537409,0.0,0.0004713063421956025,recall@10,3,"101,202,303",5
branching,0.0,-0.0002224502122195234,-0.0006673506366585702,0.0003852950697186936,map,3,"101,202,303",6
branching,0.0,0.0,0.0,0.0,recall@10,3,"101,202,303",6
branching,0.0020138770337658762,0.0006712923445886254,0.0,0.0011627124475595337,map,3,"101,202,303",7
branching,0.0,0.0,0.0,0.0,recall@10,3,"101,202,303",7
branching,0.0006934819328722197,0.0002311606442907399,0.0,0.00040038198062191803,map,3,"101,202,303",8
branching,0.0,0.0,0.0,0.0,recall@10,3,"101,202,303",8
branching,0.0002846862938750139,9.489543129167129e-05,0.0,0.00016436370840333618,map,3,"101,202,303",9
branching,0.0,-0.0002721088435374275,-0.0008163265306122824,0.00047130634219563457,recall@10,3,"101,202,303",9
length_only,-0.01539813679357993,-0.024627252974963525,-0.029864095151937553,0.00801683706963959,map,3,"101,202,303",0
length_only,0.001224489795918382,-0.00013605442176871838,-0.001224489795918382,0.0012469593727771173,recall@10,3,"101,202,303",0
length_only,0.04128177615711537,0.017589752296717703,0.0017741695935681312,0.020898360894402796,map,3,"101,202,303",1
length_only,0.0065306122448979265,0.003945578231292518,0.00040816326530612734,0.003170389169450613,recall@10,3,"101,202,303",1
length_only,0.16271815863198624,0.1485113433932689,0.13149994481451466,0.0157969454095326,map,3,"101,202,303",10
length_only,0.010612244897959172,0.007619047619047609,0.0053061224489796,0.0027176849463181134,recall@10,3,"101,202,303",10
length_only,-0.005003145837794265,-0.010350768025666405,-0.016843464570974298,0.006002639701736744,map,3,"101,202,303",2
length_only,0.0004081632653060996,-0.0009523809523809453,-0.0024489795918367085,0.0014334222792996686,recall@10,3,"101,202,303",2
length_only,0.04976355130771981,0.04501637256202958,0.04001738948352185,0.004877957732738435,map,3,"101,202,303",3
length_only,0.004489795918367373,0.003945578231292518,0.002857142857142836,0.0009426126843912451,recall@10,3,"101,202,303",3
length_only,-0.013047600566488238,-0.015085448342709714,-0.01635609915226255,0.0017826901335528918,map,3,"101,202,303",4
length_only,0.0016326530612245094,-0.0009523809523809545,-0.006122448979591827,0.004477410250858312,recall@10,3,"101,202,303",4
length_only,0.03238691933518234,0.02545795996206048,0.018657547294901267,0.0068655886380428665,map,3,"101,202,303",5
length_only,0.0032653061224489632,0.0021768707482993275,0.0016326530612245094,0.000942612684391205,recall@10,3,"101,202,303",5
length_only,-0.008195698985297595,-0.013111563289675368,-0.019212839696761463,0.005603414026643415,map,3,"101,202,303",6
